symbol,company_name,sector,as_of_date,shareholder_1,percent_1,shareholder_2,percent_2,shareholder_3,percent_3,shareholder_4,percent_4,shareholder_5,percent_5,source_url
ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),เทคโนโลยีสารสนเทศและการสื่อสาร,2025-08-20,บริษัท กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),40.44,SINGTEL STRATEGIC INVESTMENTS PTE LTD.,19.1,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,8.36,RAFFLE NOMINEES (PTE) LTD S/A SINGTEL STRATEGIC INVESTMENTS PTE LTD.,4.22,กองทุนรวม วายุภักษ์หนึ่ง,2.31,https://aio.panphol.com/stock/ADVANC/sholder
AOT,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),ขนส่งและโลจิสติกส์,2024-12-06,กระทรวงการคลัง,70.0,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,3.04,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,2.09,สำนักงานประกันสังคม,1.37,กองทุนรวม วายุภักษ์หนึ่ง,1.26,https://aio.panphol.com/stock/AOT/sholder
AWC,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),พัฒนาอสังหาริมทรัพย์,2025-05-09,บริษัท ทีซีซี บริหารธุรกิจ จำกัด,44.98,บริษัท ทีซีซี รีเทล จำกัด,29.99,NOMURA SINGAPORE LIMITED-CUSTOMER SEGREGATED ACCOUNT,4.47,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,2.44,UBS AG SINGAPORE BRANCH,2.17,https://aio.panphol.com/stock/AWC/sholder
BANPU,บริษัท บ้านปู จำกัด (มหาชน),พลังงานและสาธารณูปโภค,2025-09-10,บริษัท น้ำตาลมิตรผล จำกัด,8.26,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,7.64,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,2.82,นาย ดิเรก วินิชบุตร,2.41,นาย ประทีป ตั้งมติธรรม,2.34,https://aio.panphol.com/stock/BANPU/sholder
BBL,ธนาคารกรุงเทพ จำกัด (มหาชน),ธนาคาร,2025-09-11,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,23.24,บริษัท ซิตี้เรียลตี้ จำกัด,4.77,สำนักงานประกันสังคม,4.3,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.77,STATE STREET BANK AND TRUST COMPANY,2.62,https://aio.panphol.com/stock/BBL/sholder
BDMS,บริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน),การแพทย์,2025-09-10,นาย ปราเสริฐ ปราสาททองโอสถ,9.18,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,8.79,น.ส. ปรมาภรณ์ ปราสาททองโอสถ,5.81,บริษัท วิริยะประกันภัย จำกัด (มหาชน),4.27,UBS AG SINGAPORE BRANCH,3.89,https://aio.panphol.com/stock/BDMS/sholder
BEM,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),ขนส่งและโลจิสติกส์,2025-03-12,บริษัท ช.การช่าง จำกัด (มหาชน),37.94,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย,8.22,ธนาคาร กรุงไทย จำกัด (มหาชน),5.33,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,4.43,สำนักงานประกันสังคม,2.98,https://aio.panphol.com/stock/BEM/sholder
BH,บริษัท โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน),การแพทย์,2025-08-15,บริษัท กรุงเทพประกันภัย จำกัด (มหาชน),10.82,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,9.42,UOB KAY HIAN (HONG KONG) LIMITED - Client Account,7.77,ธนาคาร กรุงเทพ จำกัด (มหาชน),6.7,CITIBANK NOMINEES SINGAPORE PTE LTD-A/C GIC C,4.64,https://aio.panphol.com/stock/BH/sholder
BJC,บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน),พาณิชย์,2025-08-28,บริษัท ทีซีซี คอร์ปอเรชั่น จำกัด,45.68,บริษัท ทีซีซี โฮลดิ้งส์ (2519) จำกัด,29.32,สำนักงานประกันสังคม,4.08,RAFFLES NOMINEES (PTE) LIMITED,3.92,THE BANK OF NEW YORK (NOMINEES) LIMITED,2.58,https://aio.panphol.com/stock/BJC/sholder
BTS,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),ขนส่งและโลจิสติกส์,2025-06-19,นาย คีรี กาญจนพาสน์,31.73,นาย กวิน กาญจนพาสน์,11.17,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,5.5,ธนาคาร กรุงเทพ จำกัด (มหาชน),4.48,CITIBANK NOMINEES SINGAPORE PTE LTD-A/C GIC C,3.19,https://aio.panphol.com/stock/BTS/sholder
CBG,บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน),อาหารและเครื่องดื่ม,2025-08-22,บริษัท เสถียรธรรมโฮลดิ้ง จำกัด,25.01,น.ส. ณัฐชไม ถนอมบูรณ์เจริญ,21.0,นาย ยืนยง โอภากุล,7.05,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,5.36,UBS AG SINGAPORE BRANCH,4.52,https://aio.panphol.com/stock/CBG/sholder
CCET,บริษัท แคล-คอมพ์ อีเล็คโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),ชิ้นส่วนอิเล็กทรอนิกส์,2025-08-29,KINPO ELECTRONICS. INC.,49.99,FAR EASTERN INTERNATIONAL BANK,15.84,KGI ASIA LIMITED,15.1,นาย วิทิต พงศ์พิโรดม,2.17,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,1.8,https://aio.panphol.com/stock/CCET/sholder
CENTEL,บริษัท โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน),การท่องเที่ยวและสันทนาการ,2025-05-06,บริษัท เตียง จิราธิวัฒน์ จำกัด,5.0,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,3.52,นาย นิติ โอสถานุเคราะห์,3.06,นาย สุทธิเกียรติ จิราธิวัฒน์,2.31,นาย ปริญญ์ จิราธิวัฒน์,2.17,https://aio.panphol.com/stock/CENTEL/sholder
COM7,บริษัท คอมเซเว่น จำกัด (มหาชน),พาณิชย์,2025-06-30,นาย สุระ คณิตทวีกุล,25.05,นาย พงศ์ศักดิ์ ธรรมธัชอารี,19.81,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,8.6,THE BANK OF NEW YORK MELLON,3.97,น.ส. อารี ปรีชานุกูล,2.97,https://aio.panphol.com/stock/COM7/sholder
CPALL,บริษัท ซีพี ออลล์ จำกัด (มหาชน),พาณิชย์,2025-05-07,บริษัท ซี.พี.เมอร์แชนไดซิ่ง จำกัด,30.78,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,12.95,สำนักงานประกันสังคม,3.15,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.0,STATE STREET EUROPE LIMITED,2.38,https://aio.panphol.com/stock/CPALL/sholder
CPF,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),อาหารและเครื่องดื่ม,2025-09-01,บริษัท เครือเจริญโภคภัณฑ์ จำกัด,25.04,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,11.03,UBS AG LONDON BRANCH,9.21,บริษัท เจริญโภคภัณฑ์โฮลดิ้ง จำกัด,8.85,UBS AG HONG KONG BRANCH,2.91,https://aio.panphol.com/stock/CPF/sholder
CPN,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),พัฒนาอสังหาริมทรัพย์,2025-03-18,บริษัท เซ็นทรัลโฮลดิ้ง จำกัด,26.21,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,7.97,สำนักงานประกันสังคม,2.71,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,2.57,นาย นิติ โอสถานุเคราะห์,2.07,https://aio.panphol.com/stock/CPN/sholder
CRC,บริษัท เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),พาณิชย์,2025-10-02,บริษัท ห้างเซ็นทรัล ดีพาทเมนท์สโตร์ จำกัด,35.06,Deutsche Bank AG Singapore PWM,4.61,สำนักงานประกันสังคม,3.01,กองทุนรวม วายุภักษ์หนึ่ง,2.21,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,1.68,https://aio.panphol.com/stock/CRC/sholder
DELTA,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),ชิ้นส่วนอิเล็กทรอนิกส์,2025-02-28,DELTA ELECTRONICS INT'L (SINGAPORE) PTE. LTD.,42.85,DELTA INTERNATIONAL HOLDING LIMITED B.V.,14.18,CITI (NOMINEES) LIMITED-CBHK-PBGSG-RESTRICTED SHARES,13.86,DELTA ELECTRONICS INC.,5.54,UBS AG HONG KONG BRANCH,4.39,https://aio.panphol.com/stock/DELTA/sholder
EGCO,บริษัท ผลิตไฟฟ้า จำกัด (มหาชน),พลังงานและสาธารณูปโภค,2025-09-08,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,25.41,TEPDIA Generating B.V.,22.42,สหกรณ์ออมทรัพย์การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย จำกัด,6.21,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,4.67,สำนักงานประกันสังคม,4.53,https://aio.panphol.com/stock/EGCO/sholder
GPSC,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),พลังงานและสาธารณูปโภค,2025-09-09,บริษัท ปตท. จำกัด (มหาชน),47.27,บริษัท ไทยออยล์ จำกัด (มหาชน),10.0,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน),10.0,บริษัท สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,7.96,กองทุนรวม วายุภักษ์หนึ่ง,1.96,https://aio.panphol.com/stock/GPSC/sholder
GULF,บริษัท กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),พลังงานและสาธารณูปโภค,2025-04-17,นาย สารัชถ์ รัตนาวะดี,29.19,UBS AG SINGAPORE BRANCH,10.14,GULF CAPITAL HOLDINGS LIMITED,8.0,SINGTEL GLOBAL INVESTMENT PTE. LTD.,7.73,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,4.35,https://aio.panphol.com/stock/GULF/sholder
HMPRO,บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน),พาณิชย์,2025-09-11,บริษัท แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),30.23,บริษัท ควอลิตี้เฮ้าส์ จำกัด (มหาชน),19.87,นาย นิติ โอสถานุเคราะห์,5.24,สำนักงานประกันสังคม,4.66,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,3.76,https://aio.panphol.com/stock/HMPRO/sholder
IVL,บริษัท อินโดรามา เวนเจอร์ส จำกัด (มหาชน),ปิโตรเคมีและเคมีภัณฑ์,2025-11-26,บริษัท อินโดรามา รีซอสเซส จำกัด,65.6,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,5.12,ธนาคาร กรุงเทพ จำกัด (มหาชน),4.83,กองทุนรวม วายุภักษ์หนึ่ง,3.42,สำนักงานประกันสังคม,1.6,https://aio.panphol.com/stock/IVL/sholder
KBANK,ธนาคารกสิกรไทย จำกัด (มหาชน),ธนาคาร,2025-09-11,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,13.7,STATE STREET EUROPE LIMITED,8.17,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,5.06,STATE STREET BANK AND TRUST COMPANY,4.84,บริษัท กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),4.53,https://aio.panphol.com/stock/KBANK/sholder
KKP,ธนาคารเกียรตินาคินภัทร จำกัด (มหาชน),ธนาคาร,2025-09-11,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,7.71,บริษัท โชติธนวัฒน์ จำกัด,5.27,บริษัท น้ำตาลตะวันออก จำกัด,4.57,น.ส. ฐิตินันท์ วัธนเวคิน,4.2,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.33,https://aio.panphol.com/stock/KKP/sholder
KTB,ธนาคารกรุงไทย จำกัด (มหาชน),ธนาคาร,2025-11-12,กองทุน เพื่อการฟื้นฟูและพัฒนาระบบสถาบันการเงิน,55.07,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,8.71,กองทุนรวม วายุภักษ์หนึ่ง,4.0,STATE STREET EUROPE LIMITED,1.98,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,1.77,https://aio.panphol.com/stock/KTB/sholder
KTC,บริษัท บัตรกรุงไทย จำกัด (มหาชน),เงินทุนและหลักทรัพย์,2025-08-01,ธนาคาร กรุงไทย จำกัด (มหาชน),49.29,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,9.84,นาย มงคล ประกิตชัยวัฒนา,5.8,บริษัท เคเคพี แคปปิตอล จำกัด (มหาชน),3.46,BBHISL NOMINEES LIMITED,1.55,https://aio.panphol.com/stock/KTC/sholder
LH,บริษัทแลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),พัฒนาอสังหาริมทรัพย์,2025-10-16,นาย อนันต์ อัศวโภคิน,24.23,สำนักงานประกันสังคม,6.39,บริษัท เมย์แลนด์ จำกัด,5.67,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,5.42,THE BANK OF NEW YORK MELLON,2.94,https://aio.panphol.com/stock/LH/sholder
MINT,บริษัท ไมเนอร์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),การท่องเที่ยวและสันทนาการ,2025-09-02,บริษัท ไมเนอร์ โฮลดิ้ง (ไทย) จำกัด,16.17,นาย นิติ โอสถานุเคราะห์,9.84,UBS AG SINGAPORE BRANCH,8.39,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,8.2,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,4.1,https://aio.panphol.com/stock/MINT/sholder
MTC,บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน),เงินทุนและหลักทรัพย์,2025-04-29,นาง ดาวนภา เพชรอำไพ,33.96,นาย ชูชาติ เพ็ชรอำไพ,33.49,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,3.61,กองทุนรวม วายุภักษ์หนึ่ง,1.73,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,1.12,https://aio.panphol.com/stock/MTC/sholder
OR,บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน),พลังงานและสาธารณูปโภค,2025-09-05,บริษัท ปตท. จำกัด (มหาชน),75.0,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,2.41,กองทุนรวม วายุภักษ์หนึ่ง,1.58,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,0.85,ชุมนุมสหกรณ์ออมทรัพย์ แห่งประเทศไทย จำกัด,0.63,https://aio.panphol.com/stock/OR/sholder
OSP,บริษัท โอสถสภา จำกัด (มหาชน),อาหารและเครื่องดื่ม,2025-08-29,นาย นิติ โอสถานุเคราะห์,24.07,"BANK JULIUS BAER & CO. LTD, SINGAPORE",8.69,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,3.59,นาย ภาสุรี โอสถานุเคราะห์,3.35,น.ส. เกสรา โอสถานุเคราะห์,3.14,https://aio.panphol.com/stock/OSP/sholder
PTT,บริษัท ปตท. จำกัด (มหาชน),พลังงานและสาธารณูปโภค,2025-10-02,กระทรวงการคลัง,51.38,กองทุนรวม วายุภักษ์หนึ่ง,9.96,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,4.47,ชุมนุมสหกรณ์ออมทรัพย์ แห่งประเทศไทย จำกัด,2.06,สำนักงานประกันสังคม,1.83,https://aio.panphol.com/stock/PTT/sholder
PTTEP,บริษัท ปตท. สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),พลังงานและสาธารณูปโภค,2025-08-13,บริษัท ปตท. จำกัด (มหาชน),63.79,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,6.52,STATE STREET EUROPE LIMITED,1.8,กองทุนรวม วายุภักษ์หนึ่ง,1.59,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,1.58,https://aio.panphol.com/stock/PTTEP/sholder
PTTGC,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน),ปิโตรเคมีและเคมีภัณฑ์,2025-10-09,บริษัท ปตท. จำกัด (มหาชน),45.18,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,3.72,บริษัท สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,3.0,กองทุนรวม วายุภักษ์หนึ่ง,2.74,STATE STREET EUROPE LIMITED,2.66,https://aio.panphol.com/stock/PTTGC/sholder
RATCH,บริษัท ราช กรุ๊ป จำกัด (มหาชน),พลังงานและสาธารณูปโภค,2025-09-03,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,45.0,สหกรณ์ออมทรัพย์การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย จำกัด,6.34,สำนักงานประกันสังคม,4.68,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,3.07,นาย ประทีป ตั้งมติธรรม,1.47,https://aio.panphol.com/stock/RATCH/sholder
SAWAD,บริษัท ศรีสวัสดิ์ คอร์ปอเรชั่น จำกัด (มหาชน),เงินทุนและหลักทรัพย์,2025-10-07,น.ส. ธิดา แก้วบุตตา,16.18,UBS AG SINGAPORE BRANCH,11.74,น.ส. ดวงใจ แก้วบุตตา,8.14,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,6.75,นาง จริยา แก้วบุตตา,5.94,https://aio.panphol.com/stock/SAWAD/sholder
SCB,บริษัท เอสซีบี เอกซ์ จำกัด (มหาชน),ธนาคาร,2025-09-03,พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,23.58,กองทุนรวม วายุภักษ์หนึ่ง,23.32,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,6.18,STATE STREET EUROPE LIMITED,3.6,สำนักงานประกันสังคม,3.2,https://aio.panphol.com/stock/SCB/sholder
SCC,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),วัสดุก่อสร้าง,2025-08-14,พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,33.64,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,7.85,สำนักงานประกันสังคม,5.54,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,1.85,STATE STREET EUROPE LIMITED,1.5,https://aio.panphol.com/stock/SCC/sholder
SCGP,บริษัท เอสซีจี แพคเกจจิ้ง จำกัด (มหาชน),บรรจุภัณฑ์,2025-08-13,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),72.12,บริษัท ทุนลดาวัลย์ จำกัด,1.92,สำนักงานประกันสังคม,1.81,กองทุนรวม วายุภักษ์หนึ่ง,1.72,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,1.58,https://aio.panphol.com/stock/SCGP/sholder
TCAP,บริษัท ทุนธนชาต จำกัด (มหาชน),เงินทุนและหลักทรัพย์,2025-09-15,เอ็ม บี เค จำกัด(มหาชน),24.9,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,6.02,นาย สมชาย ลิ้มถิรคุณ,2.53,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,2.29,DBS BANK LTD. AC DBS NOMINEES-PB CLIENTS,1.95,https://aio.panphol.com/stock/TCAP/sholder
TIDLOR,บริษัท เงินติดล้อ จำกัด (มหาชน),เงินทุนและหลักทรัพย์,2025-06-06,ธนาคาร กรุงศรีอยุธยา จำกัด (มหาชน),30.18,SIAM ASIA CREDIT ACCESS PTE. LTD.,16.33,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,6.89,9 BASIL PTE. LTD.,3.51,กองทุนสำรองเลี้ยงชีพ ทิสโก้มาสเตอร์ร่วมทุน ซึ่งจดทะเบียนแล้ว,1.96,https://aio.panphol.com/stock/TIDLOR/sholder
TISCO,บริษัท ทิสโก้ไฟแนนเชียลกรุ๊ป จำกัด (มหาชน),ธนาคาร,2025-09-11,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,11.54,CDIB & PARTNERS INVESTMENT HOLDING PTE.LTD.,10.0,TOKYO CENTURY CORPORATION,4.93,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.53,บริษัท ทุนธนชาต จำกัด (มหาชน),2.82,https://aio.panphol.com/stock/TISCO/sholder
TLI,บริษัท ไทยประกันชีวิต จำกัด (มหาชน),ประกันภัยและประกันชีวิต,2025-05-08,บริษัท วี.ซี.สมบัติ จำกัด,50.81,N.C.B.TRUST LIMITED-CBNA LDN MEIJI YASUDA LIFE G-A 091,17.0,HER SING (H.K.) LIMITED,5.6,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,2.17,BNP PARIBAS SINGAPORE BRANCH,1.93,https://aio.panphol.com/stock/TLI/sholder
TOP,บริษัท ไทยออยล์ จำกัด (มหาชน),พลังงานและสาธารณูปโภค,2025-10-09,บริษัท ปตท. จำกัด (มหาชน),45.03,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,7.66,บริษัท สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,2.97,THE BANK OF NEW YORK MELLON,2.09,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,1.98,https://aio.panphol.com/stock/TOP/sholder
TRUE,บริษัท ทรู คอร์ปอเรชั่น จำกัด (มหาชน),เทคโนโลยีสารสนเทศและการสื่อสาร,2025-11-18,TELENOR THAILAND INVESTMENTS PTE. LTD.,30.3,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,11.53,บริษัท ซีพีเอช เทลโค จำกัด,10.69,บริษัท เครือเจริญโภคภัณฑ์ จำกัด,9.49,CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED,7.81,https://aio.panphol.com/stock/TRUE/sholder
TTB,ธนาคารทหารไทยธนชาต จำกัด (มหาชน),ธนาคาร,2025-10-07,บริษัท ทุนธนชาต จำกัด (มหาชน),24.37,ING BANK N.V.,22.74,กระทรวงการคลัง,11.65,กองทุนรวม วายุภักษ์หนึ่ง,6.95,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,4.0,https://aio.panphol.com/stock/TTB/sholder
TU,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),อาหารและเครื่องดื่ม,2025-08-18,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),13.47,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,6.23,นาย ธีรพงศ์ จันศิริ,5.71,"MITSUBISHI UFJ MORGAN STANLEY SECURITIES CO.,LTD.",5.36,นาย เชง นิรุตตินานนท์,4.5,https://aio.panphol.com/stock/TU/sholder
WHA,บริษัท ดับบลิวเอชเอ คอร์ปอเรชั่น จำกัด (มหาชน),พัฒนาอสังหาริมทรัพย์,2025-11-28,น.ส. จรีพร จารุกรสกุล,23.41,น.ส. ชัชชมนต์ อนันตประยูร,9.07,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,6.0,นาย ชัยวัฒน์ พู่พิสุทธิ์,4.55,น.ส. สุพิชญา พู่พิสุทธิ์,4.45,https://aio.panphol.com/stock/WHA/sholder
